"stratum","round_id","coder_id","handle","point_total","num_submissions","attended","system_point_total","placed","old_rating","new_rating","old_vol","new_vol","rated_ind","advanced","provisional_placed","num_ratings","contestants_above","contestants_below","contestants_equal","sys_pos_percentile","first_pos_sub_time","last_pos_sub_time","contest_num","newcomer","Number_of_positive_subm","Number_of_complexities","Complexity_First","Complexity_Last","Complexity_Mean"
8.,13897,22827377,"dromit",90.21,21,"Y",910.19,29,"",1601,"",385,1,"N",34,1,28,192,0,87.27272727272727,3454942764,3456055019,1,"True",21,21,3,177,109.42857142857143
8.,13897,22827396,"bhaskarkhadka",81.1,2,"Y",811.54,121,"",1252,"",385,1,"N",119,1,119,101,0,45.909090909090914,3454960586,3455021959,1,"True",2,2,50,62,56.
8.,13897,22827769,"gturri",61.18,6,"Y",617.55,154,"",1154,"",385,1,"N",153,1,152,68,0,30.909090909090907,3455134682,3455459606,1,"True",6,6,118,132,123.83333333333333
8.,13897,22827855,"JavaStud",84.65,4,"Y",847.6,95,"",1331,"",385,1,"N",93,1,94,126,0,57.27272727272727,3455243000,3455527272,1,"True",4,4,63,70,67.
8.,13897,22827864,"albert.kepner",90.88,5,"Y",908.86,31,"",1589,"",385,1,"N",29,1,30,190,0,86.36363636363636,3455208384,3455485595,1,"True",5,5,95,168,138.6
8.,13897,22827870,"luizrrodrigues",87.66,9,"Y",870.17,68,"",1422,"",385,1,"N",59,1,67,153,0,69.54545454545455,3455621734,3456060723,1,"True",9,9,15,84,71.66666666666667
8.,13897,22827914,"int512",87.72,7,"Y",877.82,58,"",1460,"",385,1,"N",57,1,57,163,0,74.0909090909091,3455044892,3455545647,1,"True",7,7,113,196,177.71428571428572
8.,13897,22827949,"bladray2",87.65,7,"Y",877,62,"",1444,"",385,1,"N",60,1,61,159,0,72.27272727272728,3454900410,3455442255,1,"True",7,7,3,76,43.285714285714285
8.,13897,22828057,"aotian",11.75,6,"Y",119.23,195,"",1021,"",385,1,"N",196,1,193,27,0,12.272727272727273,3455276340,3455367755,1,"True",6,6,2,27,18.333333333333332
8.,13897,22828257,"tekkamanblade",53.93,9,"Y",542.05,167,"",1114,"",385,1,"N",166,1,165,55,0,25.,3455050892,3455063160,1,"True",9,9,30,34,31.88888888888889
8.,13897,22828354,"rlemesle",90.02,30,"Y",900.45,36,"",1561,"",385,1,"N",36,1,35,185,0,84.0909090909091,3455112245,3456035951,1,"True",29,29,106,121,109.48275862068965
8.,13897,22828432,"Loutremaline",43.12,1,"Y",438.55,175,"",1089,"",385,1,"N",175,1,173,47,0,21.363636363636363,3455340154,3455340154,1,"True",1,1,68,68,68.
8.,13897,22828541,"andresduque",82.09,1,"Y",822.21,116,"",1267,"",385,1,"N",115,1,114,106,0,48.18181818181818,3455978419,3455978419,1,"True",1,1,80,80,80.
8.,13897,22828546,"VincentL",5.77,1,"Y",57.21,208,"",971,"",385,1,"N",206,1,206,14,0,6.363636363636363,3455649331,3455649331,1,"True",1,1,4,4,4.
5.,13923,279175,"PeskyGnat",2768.67,5,"Y",27633.78,30,"",1452,"",385,1,"N",42,1,29,80,0,73.39449541284404,3457479093,3457608567,1,"True",5,5,110,122,114.8
5.,13923,22686512,"A.I",2770.61,6,"Y",27645.86,24,"",1499,"",385,1,"N",34,1,23,86,0,78.89908256880734,3458387908,3458474318,1,"True",6,6,63,73,67.83333333333333
5.,13923,22688175,"ArtemKadeev",2770.68,39,"Y",27648.79,20,"",1536,"",385,1,"N",32,1,19,90,0,82.56880733944955,3457783408,3458017684,1,"True",38,38,9,100,84.5
5.,13923,22689019,"abeln",2516.38,2,"Y",25453.72,79,"",1157,"",385,1,"N",80,1,78,31,0,28.440366972477065,3457490486,3457730404,1,"True",2,2,49,49,49.
5.,13923,22699804,"__Ivan",2766.22,4,"Y",27361,59,"",1270,"",385,1,"N",46,1,58,51,0,46.788990825688074,3457944349,3458015416,1,"True",4,4,51,66,57.
5.,13923,22710576,"pasky",2774.77,23,"Y",27667.6,6,"",1737,"",385,1,"N",4,1,5,104,0,95.41284403669725,3457343870,3458325162,1,"True",22,22,51,529,251.86363636363637
5.,13923,22711655,"Foundation",2773.94,27,"Y",27505.98,47,"",1340,"",385,1,"N",8,1,46,63,0,57.798165137614674,3457542255,3458298303,1,"True",27,27,50,193,168.33333333333334
5.,13923,22725462,"knstqq",2758.02,26,"Y",27356.37,60,"",1264,"",385,1,"N",52,1,59,50,0,45.87155963302752,3458407152,3458476364,1,"True",22,22,147,149,145.13636363636363
5.,13923,22738011,"Aksenov239",2771.26,40,"Y",27622.64,35,"",1416,"",385,1,"N",28,1,34,75,0,68.80733944954129,3457955559,3458451313,1,"True",39,39,108,166,150.15384615384616
5.,13923,22745280,"Vijayvignesh",2444.96,55,"Y",25564.95,77,"",1169,"",385,1,"N",81,1,76,33,0,30.275229357798167,3458383058,3458480384,1,"True",54,54,193,175,183.61111111111111
5.,13923,22750251,"Kex",2596.82,11,"Y",26418.45,73,"",1191,"",385,1,"N",75,1,72,37,0,33.94495412844037,3458214766,3458478922,1,"True",10,10,121,145,135.4
5.,13923,22755249,"GunnerKade",2771.82,3,"Y",27651.32,19,"",1545,"",385,1,"N",25,1,18,91,0,83.4862385321101,3458203179,3458375326,1,"True",3,3,81,62,76.66666666666667
5.,13923,22757532,"direct4d",2772.31,20,"Y",26904.14,70,"",1208,"",385,1,"N",22,1,69,40,0,36.69724770642202,3457355743,3458466766,1,"True",19,19,96,685,276.2631578947368
5.,13923,22768151,"hogeuns",2092.92,3,"Y",23633.26,85,"",1122,"",385,1,"N",90,1,84,25,0,22.93577981651376,3458260575,3458446473,1,"True",3,3,118,185,169.66666666666666
5.,13923,22770042,"shahrdar",2751.26,75,"Y",27506.82,46,"",1346,"",385,1,"N",58,1,45,64,0,58.71559633027523,3457603190,3458256168,1,"True",75,75,151,467,326.28
5.,13923,22770399,"SeMeKh",2046.23,4,"Y",20620.99,93,"",1072,"",385,1,"N",93,1,92,17,0,15.59633027522936,3457348132,3457357741,1,"True",4,4,66,67,66.5
5.,13923,22774457,"KenjiH",2242.63,1,"Y",22815.09,87,"",1110,"",385,1,"N",87,1,86,23,0,21.100917431192663,3458122883,3458122883,1,"True",1,1,227,227,227.
5.,13923,22774931,"alok_cha",278.71,6,"Y",2898.75,106,"",979,"",385,1,"N",106,1,105,4,0,3.669724770642202,3458460393,3458466694,1,"True",5,5,84,84,85.6
5.,13923,22774933,"popiel",148.9,1,"Y",1676.41,107,"",971,"",385,1,"N",107,1,106,3,0,2.7522935779816518,3457802860,3457802860,1,"True",1,1,144,144,144.
5.,13923,22777893,"pieguy",2774.69,5,"Y",27671.34,2,"",1897,"",385,1,"N",5,1,1,108,0,99.08256880733946,3458066679,3458414353,1,"True",5,5,83,215,155.4
5.,13923,22780770,"bluescrubbie",2049.96,1,"Y",20048.46,95,"",1059,"",385,1,"N",92,1,94,15,0,13.761467889908257,3458475054,3458475054,1,"True",1,1,205,205,205.
5.,13923,22822718,"yetfly",1794.14,3,"Y",19124.15,98,"",1039,"",385,1,"N",99,1,97,12,0,11.009174311926607,3458365605,3458478441,1,"True",3,3,117,135,125.66666666666667
5.,13923,22822827,"fhlasek",2771.7,19,"Y",27648.18,22,"",1517,"",385,1,"N",26,1,21,88,0,80.73394495412845,3457698625,3458317813,1,"True",19,19,81,70,95.36842105263158
5.,13923,22828733,"petrzlen",2772.1,3,"Y",27655.73,17,"",1566,"",385,1,"N",24,1,16,93,0,85.3211009174312,3458358555,3458446917,1,"True",3,3,110,122,118.66666666666667
5.,13923,22830065,"brunop",2772.82,9,"Y",27657.82,14,"",1601,"",385,1,"N",15,1,13,96,0,88.07339449541286,3457605332,3458316081,1,"True",9,9,123,281,160.77777777777777
5.,13923,22830403,"Necros",2771.13,31,"Y",27644.76,26,"",1483,"",385,1,"N",29,1,25,84,0,77.06422018348624,3457444352,3458418198,1,"True",31,31,95,135,142.03225806451613
5.,13923,22830886,"AlexBvTop",2754.82,2,"Y",27567.69,39,"",1389,"",385,1,"N",55,1,38,71,0,65.13761467889908,3457759570,3458466516,1,"True",2,2,171,199,185.
5.,13923,22830961,"kazmaro",2691.11,13,"Y",26831.04,71,"",1203,"",385,1,"N",71,1,70,39,0,35.77981651376147,3458265064,3458470399,1,"True",13,0,"","",""
5.,13923,22831124,"fourscompany",994.61,4,"Y",10730.54,102,"",1010,"",385,1,"N",102,1,101,8,0,7.339449541284404,3457388833,3458228868,1,"True",3,3,74,218,125.
5.,13923,22831223,"TrainDriver",0.13,5,"Y",1.49,110,"",945,"",385,1,"N",110,1,109,0,0,0.,3458381509,3458395465,1,"True",2,2,18,18,18.
5.,13923,22831890,"nikhilfuge",1825.6,3,"Y",19160.55,97,"",1045,"",385,1,"N",98,1,96,13,0,11.926605504587156,3457855338,3458457874,1,"True",3,3,142,106,118.
5.,13923,22831936,"osa_k",1935.94,12,"Y",18862.58,99,"",1032,"",385,1,"N",96,1,98,11,0,10.091743119266056,3458307605,3458477543,1,"True",12,12,69,118,100.41666666666667
9.,13964,278362,"syogi",31904.44,3,"Y",93250.66,104,0,1247,0,385,1,"N",98,1,103,86,0,45.5026455026455,3464541685,3464597726,1,"False",3,3,114,115,114.66666666666667
9.,13964,7459945,"logos",18330.07,4,"Y",51813.12,158,0,1048,0,385,1,"N",151,1,157,32,0,16.93121693121693,3463924530,3464454572,1,"False",4,4,24,10,16.5
9.,13964,7540456,"dexy",18834.76,1,"Y",65360.33,143,0,1107,0,385,1,"N",150,1,142,47,0,24.867724867724867,3463748857,3463748857,1,"False",1,1,27,27,27.
9.,13964,9970263,"lich",4119.74,2,"Y",18413.74,175,0,971,0,385,1,"N",173,1,174,15,0,7.936507936507936,3464614783,3464614783,1,"False",1,1,30,30,30.
9.,13964,19733731,"niko",5099.11,2,"Y",30077.25,169,0,1000,0,385,1,"N",171,1,168,21,0,11.11111111111111,3463435921,3463484237,1,"False",2,2,21,38,29.5
9.,13964,20273006,"dunczyk",23000.67,4,"Y",71761.57,137,0,1129,0,385,1,"N",141,1,136,53,0,28.04232804232804,3464026661,3464337917,1,"False",3,0,"","",""
9.,13964,20903357,"skaven_",15019.1,1,"Y",55895.73,155,0,1060,0,385,1,"N",159,1,154,35,0,18.51851851851852,3463952446,3463952446,1,"False",1,1,28,28,28.
9.,13964,22653798,"buzden",24338.81,7,"Y",70844.82,139,0,1122,0,385,1,"N",136,1,138,51,0,26.984126984126984,3463593076,3464535139,1,"False",7,7,54,40,42.
9.,13964,22662265,"threader",19986.03,4,"Y",60427.49,151,0,1076,0,385,1,"N",148,1,150,39,0,20.634920634920633,3464519308,3464613506,1,"False",3,3,59,81,70.33333333333333
9.,13964,22672561,"WtbH",36682.62,6,"Y",108917.57,66,0,1389,0,385,1,"N",64,1,65,124,0,65.60846560846561,3463928324,3464612532,1,"False",6,6,95,132,118.83333333333333
9.,13964,22678332,"awakia",36238.77,4,"Y",105488.72,77,0,1346,0,385,1,"N",68,1,76,113,0,59.78835978835979,3464480716,3464595030,1,"False",4,4,28,54,47.25
9.,13964,22699304,"liuyubobobo",27985.3,5,"Y",78934.92,129,0,1159,0,385,1,"N",122,1,128,61,0,32.27513227513227,3463573250,3463639128,1,"False",5,5,26,57,50.2
9.,13964,22725093,"yjyfrombnu",18887.36,3,"Y",64756.47,144,0,1103,0,385,1,"N",149,1,143,46,0,24.33862433862434,3463568547,3463609270,1,"False",2,2,50,60,55.
9.,13964,22745629,"naoya_t",27833.71,5,"Y",80448.3,128,0,1162,0,385,1,"N",123,1,127,62,0,32.804232804232804,3464520219,3464567425,1,"False",5,5,29,70,59.8
9.,13964,22745897,"feather",15792.33,4,"Y",60433.78,150,0,1080,0,385,1,"N",157,1,149,40,0,21.164021164021165,3463426006,3463853030,1,"False",4,4,17,25,21.25
9.,13964,22746788,"yangweikun",30708.44,7,"Y",91017.43,111,0,1223,0,385,1,"N",104,1,110,79,0,41.7989417989418,3463557662,3464603029,1,"False",7,7,35,45,38.857142857142854
9.,13964,22749323,"hasi",40415.65,23,"Y",118066.19,42,0,1498,0,385,1,"N",32,1,41,148,0,78.3068783068783,3463980980,3464582798,1,"False",23,23,8,76,63.130434782608695
9.,13964,22750142,"peergynt",15325.62,3,"Y",44997.13,162,0,1031,0,385,1,"N",158,1,161,28,0,14.814814814814813,3464560984,3464611586,1,"False",3,3,35,42,39.666666666666664
9.,13964,22756269,"karlicos",23874.8,1,"Y",70119.72,140,0,1118,0,385,1,"N",137,1,139,50,0,26.455026455026452,3464444417,3464444417,1,"False",1,1,13,13,13.
9.,13964,22758250,"zapati720",31822.93,4,"Y",99094.98,92,0,1290,0,385,1,"N",99,1,91,98,0,51.85185185185185,3464063240,3464231093,1,"False",4,0,"","",""
9.,13964,22769828,"tl268",41955.07,45,"Y",121823.41,31,0,1561,0,385,1,"N",21,1,30,159,0,84.12698412698413,3463529612,3464476385,1,"False",42,42,209,212,214.45238095238096
9.,13964,22775598,"Erepb",26283.11,4,"Y",87568.05,117,0,1201,0,385,1,"N",128,1,116,73,0,38.62433862433862,3464101488,3464284875,1,"False",4,4,160,206,187.75
9.,13964,22776557,"rydotyosh",34581.07,6,"Y",99710.51,91,0,1294,0,385,1,"N",83,1,90,99,0,52.38095238095239,3464005065,3464608566,1,"False",6,6,68,134,100.33333333333333
9.,13964,22779313,"hechim",2611.84,1,"Y",30598.46,168,0,1004,0,385,1,"N",175,1,167,22,0,11.64021164021164,3463671401,3463671401,1,"False",1,1,21,21,21.
9.,13964,22823265,"sashenka",30137.22,4,"Y",95313.01,100,0,1262,0,385,1,"N",109,1,99,90,0,47.61904761904761,3463802636,3463856957,1,"False",4,4,22,60,45.
9.,13964,22825479,"Deathrace",594.79,4,"Y",3343.39,187,0,907,0,385,1,"N",184,1,185,4,0,2.1164021164021163,3463926529,3463935700,1,"False",2,2,18,18,18.
9.,13964,22825565,"vaquan",25072.24,3,"Y",76646.95,132,0,1148,0,385,1,"N",133,1,131,58,0,30.687830687830687,3463671405,3463718797,1,"False",3,3,28,28,28.
9.,13964,22829840,"7vies",38973.46,7,"Y",117903.66,43,0,1493,0,385,1,"N",45,1,42,147,0,77.77777777777779,3464074741,3464589083,1,"False",7,7,52,116,74.57142857142857
9.,13964,22830136,"eachdoor",16584.6,3,"Y",51484.65,159,0,1044,0,385,1,"N",156,1,158,31,0,16.402116402116402,3464273443,3464575968,1,"False",3,3,2,25,16.666666666666668
9.,13964,22831538,"akalinin",36301.66,7,"Y",106256.4,75,0,1353,0,385,1,"N",67,1,74,115,0,60.84656084656085,3463720136,3464398050,1,"False",7,7,74,389,259.
9.,13964,22833380,"hrangwala",18070.74,1,"Y",54266.7,157,0,1052,0,385,1,"N",152,1,156,33,0,17.46031746031746,3463495147,3463495147,1,"False",1,1,17,17,17.
9.,13964,22834290,"Koji.Ohno",29641.34,6,"Y",88928.3,116,0,1205,0,385,1,"N",116,1,115,74,0,39.15343915343915,3463568915,3464439566,1,"False",5,5,19,198,110.2
9.,13964,22836141,"NewPoint",13804.94,21,"Y",40186.04,164,0,1022,0,385,1,"N",162,1,163,26,0,13.756613756613756,3464165219,3464517866,1,"False",12,12,23,21,20.916666666666668
9.,13964,22837320,"johand",23668.97,7,"Y",71596.61,138,0,1126,0,385,1,"N",139,1,137,52,0,27.513227513227513,3463727982,3464077049,1,"False",6,6,12,23,22.
9.,13964,22838064,"jacobpgallagher",30707.46,3,"Y",87374.28,118,0,1198,0,385,1,"N",105,1,117,72,0,38.095238095238095,3464538835,3464611997,1,"False",3,3,79,91,90.66666666666667
9.,13964,22838201,"vlad_kalish",21141.11,10,"Y",60196.59,153,0,1068,0,385,1,"N",143,1,152,37,0,19.576719576719576,3463872643,3464450913,1,"False",7,7,29,36,28.428571428571427
9.,13964,22838301,"schiranet",31642.7,3,"Y",102120.92,85,0,1316,0,385,1,"N",100,1,84,105,0,55.55555555555556,3464125776,3464299240,1,"False",2,2,32,58,45.
9.,13964,22838346,"toonsuperlove",27207.31,6,"Y",85704.98,120,0,1191,0,385,1,"N",126,1,119,70,0,37.03703703703704,3463617303,3463669421,1,"False",4,4,55,64,60.
9.,13964,22838620,"Pyronimous",32925.31,14,"Y",98639.4,93,0,1287,0,385,1,"N",91,1,92,97,0,51.32275132275132,3463509538,3464437833,1,"False",14,14,22,51,44.285714285714285
9.,13964,22838863,"benfa",1894.2,2,"Y",9778.35,179,0,951,0,385,1,"N",177,1,178,11,0,5.82010582010582,3463829185,3463836462,1,"False",2,2,56,61,58.5
9.,13964,22839189,"noriok",29923.59,2,"Y",91968.15,109,0,1230,0,385,1,"N",111,1,108,81,0,42.857142857142854,3463479296,3463567760,1,"False",2,2,31,48,39.5
9.,13964,22839234,"htwais",0,6,"Y",792.21,192,0,875,0,385,1,"N",190,1,189,0,0,0.,3464253210,3464273141,1,"False",2,2,32,32,32.
9.,13964,22839348,"ghisguth",39160.38,20,"Y",117012.58,47,0,1473,0,385,1,"N",44,1,46,143,0,75.66137566137566,3463657125,3464405986,1,"False",20,20,52,236,170.8
9.,13964,22839359,"bacho",395.86,2,"Y",8959.93,180,0,946,0,385,1,"N",187,1,179,10,0,5.291005291005291,3463784711,3463792972,1,"False",2,2,27,30,28.5
9.,13964,22839420,"ahaefner",34831.96,4,"Y",102138.23,84,0,1319,0,385,1,"N",81,1,83,106,0,56.08465608465608,3463890732,3464492190,1,"False",4,4,25,32,28.25
9.,13964,22839524,"fallen66",25241.77,4,"Y",73923.98,134,0,1140,0,385,1,"N",132,1,133,56,0,29.629629629629626,3463459124,3463544809,1,"False",4,4,28,43,33.25
9.,13964,22839780,"rc_camilo",36413.32,5,"Y",107094.5,72,0,1365,0,385,1,"N",66,1,71,118,0,62.43386243386243,3463825723,3464449608,1,"False",4,4,10,44,34.5
9.,13964,22839984,"mkolfman",44276.98,17,"Y",130956.94,10,0,1755,0,385,1,"N",10,1,9,180,0,95.23809523809523,3463501047,3464599776,1,"False",17,17,32,108,101.58823529411765
9.,13964,22840352,"gkchat",39187.94,5,"Y",123352.42,27,0,1587,0,385,1,"N",43,1,26,163,0,86.24338624338624,3464121197,3464216254,1,"False",5,5,46,73,58.2
9.,13964,22840901,"syat",14942.42,2,"Y",45319.54,161,0,1035,0,385,1,"N",160,1,160,29,0,15.343915343915343,3464163622,3464226853,1,"False",2,2,23,25,24.
8.,14264,142007,"shahins",26.29,7,"Y",258.69,152,"",1039,"",385,1,"N",152,1,151,34,0,18.37837837837838,3483201209,3483244582,1,"True",5,5,63,59,62.
8.,14264,19834611,"irus",37.18,4,"Y",362.5,101,"",1229,"",385,1,"N",98,1,100,85,0,45.94594594594595,3483012610,3483131868,1,"True",4,4,93,112,99.75
8.,14264,22269126,"irakli",48.37,10,"Y",477.71,33,"",1517,"",385,1,"N",37,1,32,153,0,82.70270270270271,3483161057,3483271934,1,"True",10,10,26,174,79.9
8.,14264,22674919,"lxhimo",42.3,9,"Y",416.03,73,"",1332,"",385,1,"N",72,1,72,113,0,61.08108108108108,3482563071,3483269609,1,"True",9,9,16,30,25.22222222222222
8.,14264,22686243,"finitefield",21.57,1,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482073855,3482073855,1,"True",1,1,1,1,1.
8.,14264,22692510,"buboo",36.79,4,"Y",348.5,109,"",1201,"",385,1,"N",102,1,108,77,0,41.62162162162162,3483081606,3483174419,1,"True",4,4,28,36,31.
8.,14264,22693378,"FBWolf",21.57,1,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482243350,3482243350,1,"True",1,1,33,33,33.
8.,14264,22714768,"OBepkJIokEP",55.68,33,"Y",542.61,13,"",1680,"",385,1,"N",14,1,12,173,0,93.51351351351352,3482296424,3483257019,1,"True",33,33,40,113,86.66666666666667
8.,14264,22732328,"K.A.D.R",48.61,12,"Y",469.14,38,"",1488,"",385,1,"N",36,1,37,148,0,80.,3482569707,3483276829,1,"True",12,12,16,108,89.83333333333333
8.,14264,22738691,"_Fellix_",21.57,3,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482107310,3482934758,1,"True",3,3,1,30,10.666666666666666
8.,14264,22740332,"cento",28.98,2,"Y",286.53,146,"",1063,"",385,1,"N",147,1,145,40,0,21.62162162162162,3482247122,3482259417,1,"True",2,2,40,46,43.
8.,14264,22746624,"gsap",43.31,3,"Y",419.84,71,"",1340,"",385,1,"N",64,1,70,115,0,62.16216216216216,3482434144,3482588776,1,"True",3,3,31,32,28.333333333333332
8.,14264,22758011,"MciprianM",28.49,3,"Y",275.58,148,"",1051,"",385,1,"N",148,1,147,36,2,19.672131147540984,3483189531,3483228341,1,"True",3,3,1,20,12.
8.,14264,22759815,"Shtrix",50.76,8,"Y",494.27,28,"",1549,"",385,1,"N",25,1,27,158,0,85.4054054054054,3482952032,3483268068,1,"True",8,8,62,130,128.25
8.,14264,22762763,"GTmAster",7.17,3,"Y",73.08,186,"",863,"",385,1,"N",186,1,185,0,0,0.,3482124716,3483231941,1,"True",3,3,1,50,24.333333333333332
8.,14264,22779439,"kibork",36.59,3,"Y",356.96,103,"",1222,"",385,1,"N",105,1,102,83,0,44.86486486486487,3482164387,3482198679,1,"True",3,3,17,41,31.666666666666668
8.,14264,22786625,"dizem",10.45,1,"Y",106.45,185,"",870,"",385,1,"N",185,1,184,1,0,0.5405405405405406,3482122365,3482122365,1,"True",1,1,8,8,8.
8.,14264,22790053,"dxhl1",21.57,5,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482148469,3482736983,1,"True",5,5,54,76,64.
8.,14264,22821739,"singhhimanshu",23.95,2,"Y",229.77,154,"",1031,"",385,1,"N",153,1,153,32,0,17.2972972972973,3483023635,3483154349,1,"True",2,2,50,49,49.5
8.,14264,22826834,"PPEERR",32.67,4,"Y",324.11,123,"",1150,"",385,1,"N",126,1,122,63,0,34.054054054054056,3482510318,3482565276,1,"True",4,4,12,12,12.75
8.,14264,22833185,"canard",43.41,5,"Y",424.3,67,"",1355,"",385,1,"N",63,1,66,119,0,64.32432432432432,3482348436,3482495665,1,"True",5,5,28,28,28.2
8.,14264,22840320,"SudiptoLodh",18.85,2,"Y",181.62,180,"",902,"",385,1,"N",181,1,179,6,0,3.2432432432432434,3483204562,3483217152,1,"True",2,2,28,36,32.
8.,14264,22845698,"DmitriyH",41.91,4,"Y",409.6,76,"",1320,"",385,1,"N",77,1,75,110,0,59.45945945945946,3482578490,3482768082,1,"True",4,4,85,103,99.75
8.,14264,22845707,"nagochan",58.62,71,"Y",569.61,10,"",1720,"",385,1,"N",6,1,9,176,0,95.13513513513514,3482164799,3483265458,1,"True",71,71,18,139,101.22535211267606
8.,14264,22848421,"niccjackson",21.57,1,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3483147863,3483147863,1,"True",1,1,2,2,2.
8.,14264,22856251,"nel215",32.64,4,"Y",323.96,124,"",1147,"",385,1,"N",129,1,123,62,0,33.513513513513516,3482930140,3483179566,1,"True",4,4,16,28,25.
8.,14264,22856278,"Sljepac",21.57,1,"Y",206.61,175,"",931,"",385,1,"N",158,1,174,11,0,5.9459459459459465,3483003068,3483003068,1,"True",1,1,44,44,44.
8.,14264,22859303,"Mooncef",19.09,4,"Y",193.49,177,"",919,"",385,1,"N",180,1,176,9,0,4.864864864864865,3482944999,3482995882,1,"True",4,4,18,40,27.75
8.,14264,22859620,"yuyan",42.9,23,"Y",420.15,70,"",1344,"",385,1,"N",68,1,69,116,0,62.70270270270271,3482362262,3483170122,1,"True",23,23,1,53,41.
8.,14264,22860336,"mamekin",40.65,12,"Y",394.55,84,"",1290,"",385,1,"N",84,1,83,102,0,55.13513513513514,3482235144,3483102497,1,"True",11,11,18,34,24.545454545454547
8.,14264,22864214,"A.F_M.M",47.02,7,"Y",460.1,44,"",1457,"",385,1,"N",45,1,43,142,0,76.75675675675676,3482155290,3482342679,1,"True",7,7,23,25,23.285714285714285
8.,14264,22867737,"Shadow_Z",19.36,3,"Y",189.05,178,"",914,"",385,1,"N",179,1,177,8,0,4.324324324324325,3482219636,3482554042,1,"True",3,3,13,30,19.
8.,14264,22868061,"maxim.bruner",48.72,10,"Y",472.13,36,"",1500,"",385,1,"N",35,1,35,150,0,81.08108108108108,3482077090,3483240758,1,"True",10,10,26,205,129.
8.,14264,22868772,"GengenGen",44.79,2,"Y",438.05,54,"",1410,"",385,1,"N",55,1,53,132,0,71.35135135135135,3483257570,3483274255,1,"True",2,2,58,57,57.5
8.,14264,22869131,"cluster.master",20.47,4,"Y",178.78,181,"",896,"",385,1,"N",177,1,180,5,0,2.7027027027027026,3483202265,3483209701,1,"True",2,0,"","",""
8.,14264,22870139,"ViktorM",34.48,8,"Y",336.03,114,"",1183,"",385,1,"N",114,1,113,72,0,38.91891891891892,3482264279,3482761956,1,"True",8,8,58,109,80.
8.,14264,22871161,"niejulia",21.57,3,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3483181302,3483269348,1,"True",3,3,19,23,22.
8.,14264,22871672,"tuskers",18.04,1,"Y",171.43,183,"",883,"",385,1,"N",182,1,182,3,0,1.6216216216216217,3482463401,3482463401,1,"True",1,1,33,33,33.
8.,14264,22872480,"nico_vui",29.89,3,"Y",296.69,142,"",1079,"",385,1,"N",144,1,141,44,0,23.783783783783786,3482575041,3483001752,1,"True",3,3,38,39,38.666666666666664
8.,14264,22872744,"D_mit",34.49,7,"Y",338.52,112,"",1190,"",385,1,"N",113,1,111,74,0,40.,3482405210,3482597845,1,"True",7,7,21,21,21.857142857142858
8.,14264,22872804,"shizukanaokami",21.57,1,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482119007,3482119007,1,"True",1,1,1,1,1.
8.,14264,22872911,"hyperxproject",32.27,6,"Y",313.01,132,"",1117,"",385,1,"N",131,1,131,54,0,29.18918918918919,3482657474,3483274953,1,"True",6,6,12,37,25.
8.,14264,22873531,"mparizeau",32.74,4,"Y",323.79,126,"",1139,"",385,1,"N",125,1,125,60,0,32.432432432432435,3482538471,3483236300,1,"True",4,4,17,69,38.5
8.,14264,22874376,"takataka",28.49,7,"Y",275.58,148,"",1051,"",385,1,"N",148,1,147,36,2,19.672131147540984,3482891769,3483116845,1,"True",6,6,39,47,43.833333333333336
8.,14264,22874545,"zuojia",37.49,12,"Y",367.19,97,"",1243,"",385,1,"N",93,1,96,89,0,48.10810810810811,3482131529,3483052594,1,"True",12,12,11,69,67.08333333333333
8.,14264,22874914,"abundrew",41.52,13,"Y",414.75,75,"",1324,"",385,1,"N",78,1,74,111,0,60.,3482513141,3483221355,1,"True",13,13,22,112,56.84615384615385
8.,14264,22875054,"kayvannj",32.67,3,"Y",324.12,121,"",1156,"",385,1,"N",126,1,120,64,1,34.78260869565217,3482776233,3482894388,1,"True",2,2,35,31,33.
8.,14264,22875082,"calmcoder",45.15,16,"Y",432.77,58,"",1393,"",385,1,"N",54,1,57,128,0,69.1891891891892,3482953676,3483232721,1,"True",15,12,"",46,160.16666666666666
8.,14264,22875125,"Yutopio",21.57,1,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482391957,3482391957,1,"True",1,1,1,1,1.
8.,14264,22875177,"chisoncai",36.66,16,"Y",357.88,102,"",1225,"",385,1,"N",104,1,101,84,0,45.40540540540541,3482500868,3482813967,1,"True",16,16,23,34,29.625
8.,14264,22875332,"Gourav.in",21.57,4,"Y",206.79,157,"",979,"",385,1,"N",158,1,156,12,17,7.142857142857142,3482511206,3482569659,1,"True",3,3,30,30,30.333333333333332
8.,14264,22875363,"ledjoud",27.12,6,"Y",276.32,147,"",1059,"",385,1,"N",151,1,146,39,0,21.08108108108108,3482563332,3482646527,1,"True",6,6,34,72,63.5
